experiment_id,model_name,compression_method,budget_label,calibration_replicate,seed,sparsity,quantisation_bits,status,git_commit,model_revision,method_version,host,perplexity,perplexity_retention,total_nll,total_tokens,num_sequences,sequence_length,evaluation_device,eval_split,dataset_fingerprint,calibration_fingerprint,measured_sparsity,targeted_parameters
,,,,,,,,,,,,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",,,,,,,,,,,,
,,,,,,,,,,,,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",,,,,,,,,,,,
,,,,,,,,,,,,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",,,,,,,,,,,,
,,,,,,,,,,,,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",,,,,,,,,,,,
pythia-160m_dense_aggressive_s00_b32_rep0,pythia-160m,dense,aggressive,0,1234,0.0,32,success,5c6d70a8099dc06e71825f5396714aa41affab52-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",36.974098569864545,100.0,909496.8557128906,251923,493,512,cpu,validation,da4b790a50b187c5,,,
pythia-160m_dense_moderate_s00_b32_rep0,pythia-160m,dense,moderate,0,1234,0.0,32,success,e0c06ac17fb95ee27156508ed114f145d0111784,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",35.85747614686329,100.0,936525.37109375,261632,512,512,cpu,test,9939fb7302c336ce,,,
pythia-160m_dense_moderate_s00_b32_seed1234,pythia-160m,dense,moderate,,1234,0.0,32,success,72ab1315444c5d7abdd238b63c0e89b0ab83c132-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",36.97410079144235,100.0,909496.8708496094,251923,493,512,cpu,validation,da4b790a50b187c5,,,
pythia-160m_dense_s1_30_w8_s00_b32_seed1234,pythia-160m,dense,s1_30_w8,,1234,0.0,32,success,05008dca86ecabf57f10b3d41cd0a9798ebc64cf-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",36.97410079144235,100.0,909496.8708496094,251923,493,512,cpu,validation,da4b790a50b187c5,,,
pythia-160m_joint_aggressive_s30_b4_rep0,pythia-160m,joint,aggressive,0,1234,0.3,4,success,e85aa3325423e50d9d1cdc35512730a77961719d,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",62.37961227829171,57.48268518709886,1081387.4541015625,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_joint_aggressive_s30_b4_rep1,pythia-160m,joint,aggressive,1,1234,0.3,4,success,e85aa3325423e50d9d1cdc35512730a77961719d,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",63.67159010584137,56.3162881392743,1086750.9028320312,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
