model_name,budget_label,calibration_replicate,eval_split,dataset_fingerprint,sequential_pq_retention,sequential_qp_retention,baseline_order,baseline_rule,baseline_retention,joint_retention,joint_gain_pp,orders_available
pythia-160m,aggressive,0,test,9939fb7302c336ce,56.446745768837644,,sequential,frozen,56.446745768837644,57.48268518709886,1.035939418261215,1
pythia-160m,aggressive,1,test,9939fb7302c336ce,55.90248921364725,,sequential,frozen,55.90248921364725,56.3162881392743,0.4137989256270487,1
pythia-160m,aggressive,2,test,9939fb7302c336ce,55.13922211300676,,sequential,frozen,55.13922211300676,57.250901948015354,2.1116798350085944,1
pythia-160m,aggressive,3,test,9939fb7302c336ce,56.71506167730199,,sequential,frozen,56.71506167730199,56.40031065907556,-0.31475101822643126,1
pythia-160m,aggressive,4,test,9939fb7302c336ce,55.84826993889746,,sequential,frozen,55.84826993889746,56.637540457346844,0.7892705184493849,1
pythia-160m,aggressive,5,test,9939fb7302c336ce,56.299455540813135,,sequential,frozen,56.299455540813135,57.77334459038939,1.4738890495762575,1
pythia-160m,aggressive,6,test,9939fb7302c336ce,54.681790629946946,,sequential,frozen,54.681790629946946,56.4863415174306,1.804550887483657,1
pythia-160m,aggressive,7,test,9939fb7302c336ce,55.445863069828434,,sequential,frozen,55.445863069828434,56.227467048215935,0.7816039783875013,1
pythia-160m,moderate,0,test,9939fb7302c336ce,79.63612809458523,,sequential,frozen,79.63612809458523,79.72700292133297,0.09087482674773639,1
pythia-160m,moderate,1,test,9939fb7302c336ce,79.82775211605721,,sequential,frozen,79.82775211605721,79.78156832431175,-0.046183791745463054,1
pythia-160m,moderate,2,test,9939fb7302c336ce,79.51655813588587,,sequential,frozen,79.51655813588587,79.62282422529911,0.10626608941323923,1
pythia-160m,moderate,3,test,9939fb7302c336ce,79.70492841087052,,sequential,frozen,79.70492841087052,79.79916465760189,0.09423624673136999,1
pythia-160m,moderate,4,test,9939fb7302c336ce,79.6476184603861,,sequential,frozen,79.6476184603861,79.70534462153772,0.05772616115162066,1
pythia-160m,moderate,5,test,9939fb7302c336ce,79.90848500690181,,sequential,frozen,79.90848500690181,79.79422128132279,-0.11426372557902198,1
pythia-160m,moderate,6,test,9939fb7302c336ce,79.67146596896053,,sequential,frozen,79.67146596896053,79.66576465184941,-0.005701317111117987,1
pythia-160m,moderate,7,test,9939fb7302c336ce,79.83237694166809,,sequential,frozen,79.83237694166809,79.9544278646178,0.1220509229497111,1
pythia-160m,s1_30_w8,,validation,da4b790a50b187c5,80.20172441259874,,sequential,best-of,80.20172441259874,80.26715599354826,0.06543158094952162,1
pythia-160m,s2_50_w8,,validation,da4b790a50b187c5,20.800057054067356,,sequential,best-of,20.800057054067356,21.07060100436822,0.27054395030086553,1
pythia-160m,s3_50_w4,,validation,da4b790a50b187c5,14.52635194281601,,sequential,best-of,14.52635194281601,15.342634974633727,0.8162830318177168,1
pythia-160m,s4_70_w4,,validation,da4b790a50b187c5,0.7333793058832894,,sequential,best-of,0.7333793058832894,0.6272116828222664,-0.10616762306102301,1
pythia-160m,s5_30_w4,,validation,da4b790a50b187c5,56.65547043630121,,sequential,best-of,56.65547043630121,57.734714373086724,1.0792439367855167,1
pythia-160m,s6_40_w8,0,validation,da4b790a50b187c5,54.43079216297622,,sequential,best-of,54.43079216297622,54.19950285462386,-0.23128930835235906,1
pythia-160m,s6_40_w8,1,validation,da4b790a50b187c5,53.92618961830742,,sequential,best-of,53.92618961830742,53.97606597240523,0.04987635409781177,1
pythia-160m,s6_40_w8,2,validation,da4b790a50b187c5,54.395115092994565,,sequential,best-of,54.395115092994565,54.31290221432755,-0.08221287866701488,1
pythia-160m,s6_40_w8,,validation,da4b790a50b187c5,54.43095716310763,,sequential,best-of,54.43095716310763,54.19958316568103,-0.23137399742660136,1
pythia-1b,aggressive,0,test,9939fb7302c336ce,89.71111554155458,,sequential,frozen,89.71111554155458,90.04408067136912,0.3329651298145393,1
pythia-1b,aggressive,1,test,9939fb7302c336ce,89.65237059258861,,sequential,frozen,89.65237059258861,89.74363893619181,0.09126834360320402,1
pythia-1b,aggressive,2,test,9939fb7302c336ce,89.4831843647377,,sequential,frozen,89.4831843647377,89.78059784348433,0.29741347874663404,1
pythia-1b,aggressive,3,test,9939fb7302c336ce,89.77396820657965,,sequential,frozen,89.77396820657965,89.65581271108447,-0.11815549549518778,1
pythia-1b,aggressive,4,test,9939fb7302c336ce,89.65210171401856,,sequential,frozen,89.65210171401856,89.70640594423182,0.05430423021326192,1
pythia-1b,moderate,0,test,9939fb7302c336ce,,96.53615468112972,sequential_qp,frozen,96.53615468112972,96.3887011664627,-0.1474535146670206,1
pythia-1b,moderate,1,test,9939fb7302c336ce,,96.46811847086262,sequential_qp,frozen,96.46811847086262,96.35351692653825,-0.11460154432437264,1
pythia-1b,moderate,2,test,9939fb7302c336ce,,96.47020224749333,sequential_qp,frozen,96.47020224749333,96.23328388258311,-0.236918364910224,1
pythia-1b,moderate,3,test,9939fb7302c336ce,,96.53589092068546,sequential_qp,frozen,96.53589092068546,96.41372395642605,-0.12216696425940654,1
pythia-1b,moderate,4,test,9939fb7302c336ce,,96.5866139195233,sequential_qp,frozen,96.5866139195233,96.31050768129349,-0.27610623822981495,1
pythia-410m,aggressive,0,test,9939fb7302c336ce,57.61530124414375,,sequential,frozen,57.61530124414375,59.09036823194725,1.4750669878035012,1
pythia-410m,aggressive,1,test,9939fb7302c336ce,57.68453656929717,,sequential,frozen,57.68453656929717,58.20197544058783,0.5174388712906577,1
pythia-410m,aggressive,2,test,9939fb7302c336ce,57.54424574540901,,sequential,frozen,57.54424574540901,58.848420782389766,1.3041750369807588,1
